Date_Time, TimeSinceLoad(s), PPID, TimeStamp_Pupil,NormalPos_X,NormalPos_Y,NormalPos_Z,OriginalPos_X,OriginalPos_Y,OriginalPos_Z,Left_Openess,Right_Openess,Left_Dia,Right_Dia,GazeNormal_Left_X,GazeNormal_Left_Y,GazeNormal_Left_Z,GazeNormal_Right_X,GazeNormal_Right_Y,GazeNormal_Right_Z,EyeCenter_Left_X,EyeCenter_Left_Y,EyeCenter_Left_Z,EyeCenter_Right_X,EyeCenter_Right_Y,EyeCenter_Right_Z, environment,cart_status
0:5/8/2021 22:23:21.637,1411.351,pilot01,4034322,0.181549072,-0.112869263,0.976867676,-26.22769165,1.202758789,-29.22512817,1,1,4.458938599,4.850570679,0.158554077,-0.085220337,0.983657837,0.18170166,-0.113037109,0.976821899,33.39823914,1.630691528,-32.31590271,-26.59887695,1.200088501,-29.20588684, HorrorEnvironment,FALSE
0:5/8/2021 22:23:21.659,1411.373,pilot01,4034339,0.176055908,-0.107330322,0.978500366,-26.60121155,1.189178467,-29.18966675,1,1,4.559616089,4.914916992,0.154052734,-0.092163086,0.98374939,0.176071167,-0.107345581,0.978500366,33.34529114,1.578491211,-32.1612854,-26.64990234,1.188858032,-29.18725586, HorrorEnvironment,FALSE
0:5/8/2021 22:23:21.681,1411.395,pilot01,4034364,0.16166687,-0.113708496,0.980255127,-26.45681763,1.178237915,-29.19700623,1,1,4.466201782,4.872055054,0.140396118,-0.084243774,0.986495972,0.161758423,-0.113830566,0.980239868,33.29890442,1.71383667,-32.6423645,-26.70556641,1.176010132,-29.18266296, HorrorEnvironment,FALSE
0:5/8/2021 22:23:21.704,1411.418,pilot01,4034389,0.148834229,-0.124725342,0.980957031,-24.54495239,1.132110596,-29.11628723,1,1,4.439376831,4.975204468,0.12828064,-0.088195801,0.987792969,0.149627686,-0.126113892,0.980651855,33.25431824,1.705429077,-32.66558838,-26.76803589,1.110061646,-28.97976685, HorrorEnvironment,FALSE
0:5/8/2021 22:23:21.726,1411.44,pilot01,4034414,0.179031372,-0.105361938,0.978179932,-22.9800415,1.212478638,-29.4985199,1,1,4.429779053,5.075805664,0.157577515,-0.079483032,0.984298706,0.180435181,-0.107055664,0.977737427,33.33720398,1.635955811,-32.45664978,-26.67793274,1.184677124,-29.30429077, HorrorEnvironment,FALSE
0:5/8/2021 22:23:21.747,1411.461,pilot01,4034431,0.234542847,-0.110717773,0.965774536,-4.800628662,1.326828003,-30.48905945,1,1,4.715866089,5.03314209,0.230438232,-0.093795776,0.968551636,0.236785889,-0.120117188,0.964096069,33.71755981,1.609451294,-32.62586975,-26.21296692,1.169723511,-29.30119324, HorrorEnvironment,FALSE
0:5/8/2021 22:23:21.770,1411.484,pilot01,4034456,0.238327026,-0.119522095,0.963790894,-0.415481567,1.344619751,-30.73446655,0.976516366,0.979876339,4.710983276,4.978713989,0.230056763,-0.104202271,0.967575073,0.244506836,-0.131027222,0.960739136,33.77124023,1.590957642,-32.62672424,-26.17407227,1.159011841,-29.30871582, HorrorEnvironment,FALSE
0:5/8/2021 22:23:21.792,1411.506,pilot01,4034472,0.241210938,-0.121795654,0.962783813,-20.91529846,1.194442749,-29.5909729,1,1,4.760177612,5.022079468,0.228149414,-0.10218811,0.968231201,0.242477417,-0.123687744,0.962234497,33.74647522,1.592102051,-32.62860107,-26.20050049,1.155990601,-29.29725647, HorrorEnvironment,FALSE
0:5/8/2021 22:23:21.814,1411.528,pilot01,4034497,0.228591919,-0.116012573,0.966567993,4.890960693,1.378341675,-31.01939392,1,1,4.78237915,5.045883179,0.220977783,-0.100387573,0.970092773,0.236724854,-0.132858276,0.96244812,33.73703003,1.590148926,-32.63201904,-26.24551392,1.149719238,-29.2787323, HorrorEnvironment,FALSE
0:5/8/2021 22:23:21.837,1411.55,pilot01,4034522,0.214157104,-0.121841431,0.969161987,6.584228516,1.378814697,-31.08654785,1,1,4.694824219,5.079330444,0.200637817,-0.112564087,0.973175049,0.23046875,-0.133071899,0.963928223,33.70414734,1.579101563,-32.63059998,-26.32751465,1.135757446,-29.21273804, HorrorEnvironment,FALSE
0:5/8/2021 22:23:21.859,1411.572,pilot01,4034539,0.20791626,-0.119308472,0.970825195,9.064559937,1.393188477,-31.21142578,1,1,4.735305786,5.069580078,0.194168091,-0.10836792,0.974960327,0.227600098,-0.134979248,0.96434021,33.67689514,1.581069946,-32.62767029,-26.35438538,1.122833252,-29.17337036, HorrorEnvironment,FALSE
0:5/8/2021 22:23:21.881,1411.594,pilot01,4034564,0.202316284,-0.114761353,0.972564697,9.181335449,1.405090332,-31.24920654,1,1,4.711975098,5.081802368,0.188430786,-0.100341797,0.97694397,0.222366333,-0.135665894,0.96546936,33.64361572,1.600128174,-32.69606018,-26.40206909,1.121383667,-29.14457703, HorrorEnvironment,FALSE
0:5/8/2021 22:23:21.904,1411.617,pilot01,4034589,0.199554443,-0.114089966,0.973205566,-1.307815552,1.386505127,-30.82759094,1,1,4.783157349,5.194168091,0.171585083,-0.10369873,0.979690552,0.219573975,-0.121520996,0.967987061,33.60932922,1.657058716,-32.88032532,-26.46200562,1.191589355,-29.34881592, HorrorEnvironment,FALSE
0:5/8/2021 22:23:21.926,1411.639,pilot01,4034606,0.200805664,-0.130569458,0.97088623,-11.30206299,1.333908081,-30.35076904,1,1,4.674240112,5.114730835,0.161010742,-0.107223511,0.98109436,0.214157104,-0.138412476,0.966934204,33.58148193,1.724761963,-33.09695435,-26.48881531,1.201660156,-29.42158508, HorrorEnvironment,FALSE
0:5/8/2021 22:23:21.947,1411.66,pilot01,4034631,0.173110962,-0.138290405,0.975128174,4.223114014,1.407577515,-31.04641724,1,1,4.752197266,5.091583252,0.155105591,-0.116470337,0.981002808,0.191848755,-0.161071777,0.968109131,33.53918457,1.699417114,-33.00474548,-26.54568481,1.101257324,-28.99104309, HorrorEnvironment,FALSE
0:5/8/2021 22:23:21.971,1411.684,pilot01,4034656,0.166809082,-0.108612061,0.979980469,19.10798645,1.508102417,-31.84710693,1,1,4.595321655,5.218276978,0.157913208,-0.102905273,0.982070923,0.194915771,-0.126663208,0.972595215,33.48527527,1.61605835,-32.67759705,-26.59832764,1.164916992,-29.20692444, HorrorEnvironment,FALSE
