Date_Time, TimeSinceLoad(s), PPID, TimeStamp_Pupil,NormalPos_X,NormalPos_Y,NormalPos_Z,OriginalPos_X,OriginalPos_Y,OriginalPos_Z,Left_Openess,Right_Openess,Left_Dia,Right_Dia,GazeNormal_Left_X,GazeNormal_Left_Y,GazeNormal_Left_Z,GazeNormal_Right_X,GazeNormal_Right_Y,GazeNormal_Right_Z,EyeCenter_Left_X,EyeCenter_Left_Y,EyeCenter_Left_Z,EyeCenter_Right_X,EyeCenter_Right_Y,EyeCenter_Right_Z, environment,cart_status
0:5/8/2021 22:11:23.152,692.8536,pilot01,3315820,-0.107803345,-0.180648804,0.977615356,7.971603394,1.195602417,-31.57585144,1,1,3.103652954,3.287490845,-0.106719971,-0.165115356,0.98046875,-0.109390259,-0.204238892,0.97277832,31.6693573,1.332946777,-32.64588928,-28.1804657,0.986083984,-29.94345093, VikingFresh,FALSE
0:5/8/2021 22:11:23.185,692.8865,pilot01,3315854,-0.096038818,-0.180419922,0.978881836,-2.488540649,1.122680664,-31.09550476,1,1,3.056152344,3.336471558,-0.085174561,-0.154144287,0.984359741,-0.104141235,-0.200027466,0.974227905,31.70381165,1.324157715,-32.66731262,-28.13800049,0.971542358,-29.91639709, VikingFresh,FALSE
0:5/8/2021 22:11:23.218,692.9196,pilot01,3315887,-0.117874146,-0.176025391,0.977294922,-16.04341125,1.064102173,-30.49267578,1,1,3.046676636,3.341308594,-0.103179932,-0.15663147,0.98223877,-0.121627808,-0.180984497,0.975921631,31.60505676,1.333221436,-32.5271759,-28.24737549,0.995178223,-29.97158813, VikingFresh,FALSE
0:5/8/2021 22:11:23.251,692.9532,pilot01,3315920,-0.24005127,-0.056564331,0.969100952,-5.867034912,1.637069702,-31.15797424,1,1,3.167953491,3.292297363,-0.226852417,-0.063568115,0.971847534,-0.248413086,-0.052124023,0.96723938,30.54325867,1.910827637,-32.72602844,-29.00364685,1.463104248,-30.16157532, VikingFresh,FALSE
0:5/8/2021 22:11:23.287,692.9886,pilot01,3315962,-0.369308472,0.067581177,0.926834106,-14.59347534,2.175750732,-31.14720154,1,1,3.272201538,3.421157837,-0.335296631,0.072631836,0.939300537,-0.380828857,0.065841675,0.922286987,29.5990448,2.537689209,-33.07945251,-29.70802307,2.051956177,-30.48634338, VikingFresh,FALSE
0:5/8/2021 22:11:23.320,693.0216,pilot01,3315995,-0.417373657,0.118682861,0.900939941,-7.742126465,2.504226685,-31.69685364,1,1,3.460754395,3.275314331,-0.395339966,0.113449097,0.911499023,-0.430603027,0.121826172,0.894271851,29.12828064,2.827407837,-33.31436157,-30.11190796,2.308151245,-30.71548462, VikingFresh,FALSE
0:5/8/2021 22:11:23.350,693.0516,pilot01,3316020,-0.430145264,0.142593384,0.891418457,3.56427002,2.686126709,-32.31166077,1,1,3.463989258,3.475769043,-0.415145874,0.131515503,0.900177002,-0.449829102,0.15725708,0.879150391,28.95243835,2.921325684,-33.41763306,-30.27427673,2.372634888,-30.83757019, VikingFresh,FALSE
0:5/8/2021 22:11:23.385,693.0866,pilot01,3316054,-0.431152344,0.14465332,0.890594482,5.479370117,2.696594238,-32.37373352,1,1,3.404418945,3.400650024,-0.423187256,0.129974365,0.896652222,-0.442977905,0.166809082,0.880874634,29.07043457,2.930831909,-33.38458252,-30.28060913,2.341506958,-30.84146118, VikingFresh,FALSE
0:5/8/2021 22:11:23.419,693.1206,pilot01,3316095,-0.421157837,0.132568359,0.897232056,-7.6043396,2.458312988,-31.7412262,1,1,3.345001221,3.570556641,-0.403335571,0.12512207,0.906448364,-0.432022095,0.137130737,0.891357422,29.24107361,2.832611084,-33.29960632,-30.26689148,2.228103638,-30.78271484, VikingFresh,FALSE
0:5/8/2021 22:11:23.452,693.1536,pilot01,3316129,-0.409820557,0.119476318,0.904296875,-4.169464111,2.392318726,-31.83274841,1,1,3.326766968,3.500411987,-0.387283325,0.114532471,0.914810181,-0.427154541,0.123275757,0.895721436,29.34994507,2.735412598,-33.22976685,-30.22520447,2.12562561,-30.74679565, VikingFresh,FALSE
0:5/8/2021 22:11:23.484,693.1861,pilot01,3316154,-0.391586304,0.106887817,0.913894653,-5.079162598,2.32144165,-31.73931885,1,1,3.265808105,3.436080933,-0.360046387,0.110809326,0.926315308,-0.414245605,0.10395813,0.904205322,29.43310547,2.664230347,-33.17886353,-30.16596985,2.072265625,-30.69293213, VikingFresh,FALSE
0:5/8/2021 22:11:23.518,693.2197,pilot01,3316187,-0.37928772,0.108825684,0.918838501,-1.301116943,2.337982178,-31.86447144,1,1,3.15838623,3.494400024,-0.366104126,0.113433838,0.923614502,-0.391540527,0.104507446,0.914199829,29.5579071,2.654632568,-33.15000916,-30.15737915,2.041870117,-30.66236877, VikingFresh,FALSE
0:5/8/2021 22:11:23.554,693.2556,pilot01,3316228,-0.363586426,0.100006104,0.92616272,-0.966445923,2.27911377,-31.81860352,1,1,3.241622925,3.35269165,-0.353118896,0.098602295,0.930358887,-0.373474121,0.101303101,0.922073364,29.68145752,2.595062256,-33.08992004,-30.05834961,1.979202271,-30.61181641, VikingFresh,FALSE
0:5/8/2021 22:11:23.585,693.2867,pilot01,3316253,-0.347259521,0.097854614,0.932647705,-1.161804199,2.268005371,-31.77557373,1,1,3.069793701,3.480056763,-0.330307007,0.100921631,0.938446045,-0.362976074,0.094955444,0.926940918,29.73104858,2.582397461,-33.05845642,-30.00123596,1.974517822,-30.57797241, VikingFresh,FALSE
0:5/8/2021 22:11:23.618,693.3196,pilot01,3316287,-0.332458496,0.095413208,0.938262939,-0.725814819,2.240371704,-31.75756836,1,1,2.980148315,3.366256714,-0.313491821,0.092910767,0.945022583,-0.350494385,0.09777832,0.931427002,29.80969238,2.550765991,-33.01547241,-29.94523621,1.943359375,-30.55387878, VikingFresh,FALSE
0:5/8/2021 22:11:23.652,693.3536,pilot01,3316320,-0.311096191,0.092834473,0.94581604,0.618270874,2.219238281,-31.76489258,1,1,3.086608887,3.291168213,-0.298294067,0.098022461,0.949417114,-0.324356079,0.087402344,0.941879272,29.90396118,2.524734497,-32.98135376,-29.86790466,1.901199341,-30.49856567, VikingFresh,FALSE
0:5/8/2021 22:11:23.685,693.3871,pilot01,3316353,-0.305892944,0.085113525,0.948242188,0.894134521,2.204666138,-31.75756836,1,1,3.045639038,3.284240723,-0.297866821,0.093856812,0.949966431,-0.314331055,0.07585144,0.946273804,29.93771362,2.515396118,-32.96963501,-29.83621216,1.87588501,-30.47511292, VikingFresh,FALSE
0:5/8/2021 22:11:23.717,693.4191,pilot01,3316387,-0.324615479,0.092483521,0.941299438,0.966522217,2.255584717,-31.81852722,1,1,3.081985474,3.263290405,-0.314285278,0.095077515,0.944549561,-0.335662842,0.089691162,0.937683105,29.74446106,2.57258606,-33.01696777,-29.9519043,1.915008545,-30.53094482, VikingFresh,FALSE
0:5/8/2021 22:11:23.752,693.4537,pilot01,3316420,-0.321487427,0.094741821,0.942153931,0.922088623,2.239425659,-31.80651855,1,1,3.072647095,3.408432007,-0.308441162,0.098876953,0.946075439,-0.335357666,0.090286255,0.937744141,29.80366516,2.54826355,-32.99961853,-29.93432617,1.909454346,-30.53182983, VikingFresh,FALSE
0:5/8/2021 22:11:23.785,693.4867,pilot01,3316453,-0.30859375,0.08996582,0.946914673,0.259078979,2.190078735,-31.74038696,1,1,3.098602295,3.376068115,-0.299545288,0.097061157,0.949127197,-0.317764282,0.082733154,0.944549561,29.87486267,2.515853882,-32.97096252,-29.86242676,1.85874939,-30.48880005, VikingFresh,FALSE
0:5/8/2021 22:11:23.817,693.5192,pilot01,3316487,-0.310668945,0.088775635,0.946350098,-0.333084106,2.179077148,-31.71276855,1,1,3.132156372,3.422561646,-0.297698975,0.097137451,0.949691772,-0.323257446,0.080581665,0.942871094,29.90620422,2.513183594,-32.96273804,-29.84309387,1.853042603,-30.49293518, VikingFresh,FALSE
0:5/8/2021 22:11:23.850,693.5521,pilot01,3316520,-0.30065918,0.08480835,0.949935913,-1.65927124,2.161193848,-31.63601685,1,1,3.322067261,3.407485962,-0.286026001,0.094589233,0.953536987,-0.313613892,0.076080322,0.946487427,29.97647095,2.504837036,-32.92918396,-29.83273315,1.855178833,-30.484375, VikingFresh,FALSE
0:5/8/2021 22:11:23.885,693.5873,pilot01,3316553,-0.293228149,0.081573486,0.952545166,-0.474884033,2.163238525,-31.65628052,1,1,3.247131348,3.430541992,-0.285125732,0.084945679,0.954711914,-0.301010132,0.078338623,0.950393677,30.01945496,2.491897583,-32.91030884,-29.78004456,1.847381592,-30.45115662, VikingFresh,FALSE
